serial_number,product_number,location type
2M1H0YOV0YMI4H1W,PXXT6T,Warehouse
GUTXG4I9JHU47Q24,S1BFWM,Warehouse
CXRJH7AGE4S2Y34N,SUETA4,Warehouse
243H8FRU4YKFGAVK,24517U,Office
PY05UVKZDAPEOQHP,VX8XMK,Public
GFIBS97UT1OOEXV3,2YCLF6,Factory
S1BJQNAEG4IWY9UN,2MVQ1J,Factory
VTNQCT8O9B4TSQDU,ET01G9,Factory
VXFAOD9P0MZ7TQM6,S12KUB,Warehouse
STM3I3QU4YF3GHVK,CXDUQ0,Office
G1DEYG0S7JE0HK9G,VTQBOX,Office
PFM37JQ4UY99G50K,CYAAWE,Office
2YCLF6NV0YW84A1W,CF59EM,Factory
C4V4EUMJOATURQZT,GFLMIH,Warehouse
GXO8BSLECURD1FUI,24IQVA,Office
2UW3NKQU4Y3KGBVK,2TXOHH,Office
VMMPTPED2B0C9QAV,CFL3L9,Office
EF3KQOXT4MJJCQPF,PFCKFK,Office
SMSYZIWEG48LYJUN,GXO8BS,Warehouse
0U3HQ4Y9JHU47Q24,0ULAFA,Factory
PX64IZN0VY2S45YW,2YP6MF,Office
S4GYAFQU4YKFGAVK,0FPM0B,Factory
CYAAWEP7ROCVAKJC,GXDINI,Factory
0FC1X95UT1OOEXV3,S4GHD3,Office
2144SWNV0YLN4B1W,GUMBI9,Public
ETYBQT1O9B4TSQDU,CYDMMR,Office
EXDMWQ6CGT7ZMKT8,S44MGM,Warehouse
2TXOHHQU4YF3GHVK,2UKT3U,Warehouse
01EINKG2ZHVGJQB0,STCKO9,Factory
CFLO55Q4UY99G50K,G1OISF,Factory
SY9DDAWEG4N6YOUN,S1BFWM,Office
P46KQQMJOATURQZT,VXFAOD,Office
0XX78FIVP1DRUX1L,SYSPZG,Factory
SUUOVBQU4Y3KGBVK,CXOO9N,Factory
EMR6OQVRS9GPBKOE,011CVS,Office
VFT9PQXT4MJJCQPF,2YTW2Z,Office
2MVQ1JNV0Y6I4H1W,C4EU21,Warehouse
GUCY2QY9JHU47Q24,VTKXF3,Office
CXAK45WGE4S2Y34N,VFPJG1,Office
24IQVAQU4YKFGAVK,2T89GM,Factory
