date,break,serial_number
2024-01-28,0,GUTXG4I9JHU47Q24
2024-05-27,1,GUTXG4I9JHU47Q24
2024-06-11,1,GUTXG4I9JHU47Q24
2024-07-22,1,GUTXG4I9JHU47Q24
2024-07-24,1,GUTXG4I9JHU47Q24
2024-08-28,1,GUTXG4I9JHU47Q24
2024-09-30,1,GUTXG4I9JHU47Q24
2024-10-09,1,GUTXG4I9JHU47Q24
2024-12-08,1,GUTXG4I9JHU47Q24
2025-08-01,1,GUTXG4I9JHU47Q24
2023-11-24,1,CXRJH7AGE4S2Y34N
2023-11-26,1,CXRJH7AGE4S2Y34N
2023-12-17,1,CXRJH7AGE4S2Y34N
2024-03-31,1,CXRJH7AGE4S2Y34N
2024-04-24,0,CXRJH7AGE4S2Y34N
2024-11-26,1,CXRJH7AGE4S2Y34N
2025-02-17,0,CXRJH7AGE4S2Y34N
2025-04-21,1,CXRJH7AGE4S2Y34N
2023-06-30,1,243H8FRU4YKFGAVK
2024-05-17,1,PY05UVKZDAPEOQHP
2024-05-30,1,PY05UVKZDAPEOQHP
2024-06-03,1,PY05UVKZDAPEOQHP
2024-06-23,1,PY05UVKZDAPEOQHP
2024-07-03,1,PY05UVKZDAPEOQHP
2024-08-13,0,PY05UVKZDAPEOQHP
2025-01-19,0,PY05UVKZDAPEOQHP
2025-02-03,1,PY05UVKZDAPEOQHP
2025-03-11,1,PY05UVKZDAPEOQHP
2025-03-31,1,PY05UVKZDAPEOQHP
2025-06-01,1,PY05UVKZDAPEOQHP
2024-03-03,1,GFIBS97UT1OOEXV3
2024-08-19,1,GFIBS97UT1OOEXV3
2024-09-14,0,GFIBS97UT1OOEXV3
2024-09-20,0,GFIBS97UT1OOEXV3
2024-12-03,1,GFIBS97UT1OOEXV3
2024-12-25,1,GFIBS97UT1OOEXV3
2024-12-29,1,GFIBS97UT1OOEXV3
2025-03-19,1,GFIBS97UT1OOEXV3
2025-05-06,1,GFIBS97UT1OOEXV3
2025-05-16,0,GFIBS97UT1OOEXV3
2025-06-12,1,GFIBS97UT1OOEXV3
2025-06-26,1,GFIBS97UT1OOEXV3
2025-07-09,1,GFIBS97UT1OOEXV3
2025-07-19,1,GFIBS97UT1OOEXV3
2022-04-21,1,S1BJQNAEG4IWY9UN
2022-07-16,1,S1BJQNAEG4IWY9UN
2025-04-09,1,VTNQCT8O9B4TSQDU
2023-05-29,1,STM3I3QU4YF3GHVK
2023-08-18,1,STM3I3QU4YF3GHVK
2023-04-25,1,G1DEYG0S7JE0HK9G
2023-05-13,1,G1DEYG0S7JE0HK9G
2023-06-07,1,G1DEYG0S7JE0HK9G
2023-06-16,1,G1DEYG0S7JE0HK9G
2023-07-05,1,G1DEYG0S7JE0HK9G
2023-07-23,1,G1DEYG0S7JE0HK9G
2024-02-15,1,G1DEYG0S7JE0HK9G
2024-10-05,1,G1DEYG0S7JE0HK9G
2025-06-02,1,G1DEYG0S7JE0HK9G
2025-06-04,1,G1DEYG0S7JE0HK9G
2025-06-24,1,G1DEYG0S7JE0HK9G
2025-07-13,0,G1DEYG0S7JE0HK9G
2025-08-23,1,G1DEYG0S7JE0HK9G
2025-04-16,1,PFM37JQ4UY99G50K
2022-06-29,1,2YCLF6NV0YW84A1W
2022-07-24,1,2YCLF6NV0YW84A1W
2022-08-29,1,2YCLF6NV0YW84A1W
2022-09-21,1,2YCLF6NV0YW84A1W
2022-11-03,1,2YCLF6NV0YW84A1W
2023-01-27,1,2YCLF6NV0YW84A1W
2023-03-27,0,2YCLF6NV0YW84A1W
2023-04-08,1,2YCLF6NV0YW84A1W
2023-05-29,1,2YCLF6NV0YW84A1W
2023-10-23,1,C4V4EUMJOATURQZT
2024-04-08,1,C4V4EUMJOATURQZT
2022-06-09,1,GXO8BSLECURD1FUI
2022-07-14,1,2UW3NKQU4Y3KGBVK
