date,usage,serial_number
2025-05-01,177,2M1H0YOV0YMI4H1W
2025-05-02,221,2M1H0YOV0YMI4H1W
2025-05-03,227,2M1H0YOV0YMI4H1W
2025-05-04,264,2M1H0YOV0YMI4H1W
2025-05-05,235,2M1H0YOV0YMI4H1W
2025-05-06,265,2M1H0YOV0YMI4H1W
2025-05-07,172,2M1H0YOV0YMI4H1W
2025-05-08,40,2M1H0YOV0YMI4H1W
2025-05-09,31,2M1H0YOV0YMI4H1W
2025-05-10,90,2M1H0YOV0YMI4H1W
2025-05-11,37,2M1H0YOV0YMI4H1W
2025-05-12,68,2M1H0YOV0YMI4H1W
2025-05-13,7,2M1H0YOV0YMI4H1W
2025-05-14,60,2M1H0YOV0YMI4H1W
2025-05-15,210,2M1H0YOV0YMI4H1W
2025-05-16,204,2M1H0YOV0YMI4H1W
2025-05-17,136,2M1H0YOV0YMI4H1W
2025-05-18,204,2M1H0YOV0YMI4H1W
2025-05-19,171,2M1H0YOV0YMI4H1W
2025-05-20,223,2M1H0YOV0YMI4H1W
2025-05-21,250,2M1H0YOV0YMI4H1W
2025-05-22,236,2M1H0YOV0YMI4H1W
2025-05-23,203,2M1H0YOV0YMI4H1W
2025-05-24,215,2M1H0YOV0YMI4H1W
2025-05-25,178,2M1H0YOV0YMI4H1W
2025-05-26,197,2M1H0YOV0YMI4H1W
2025-05-27,255,2M1H0YOV0YMI4H1W
2025-05-28,266,2M1H0YOV0YMI4H1W
2025-05-29,118,2M1H0YOV0YMI4H1W
2025-05-30,140,2M1H0YOV0YMI4H1W
2025-05-31,261,2M1H0YOV0YMI4H1W
2025-06-01,225,2M1H0YOV0YMI4H1W
2025-06-02,231,2M1H0YOV0YMI4H1W
2025-06-03,44,2M1H0YOV0YMI4H1W
2025-06-04,211,2M1H0YOV0YMI4H1W
2025-06-05,315,2M1H0YOV0YMI4H1W
2025-06-06,221,2M1H0YOV0YMI4H1W
2025-06-07,226,2M1H0YOV0YMI4H1W
2025-06-08,165,2M1H0YOV0YMI4H1W
2025-06-09,254,2M1H0YOV0YMI4H1W
2025-06-10,157,2M1H0YOV0YMI4H1W
2025-06-11,160,2M1H0YOV0YMI4H1W
2025-06-12,279,2M1H0YOV0YMI4H1W
2025-06-13,207,2M1H0YOV0YMI4H1W
2025-06-14,192,2M1H0YOV0YMI4H1W
2025-06-15,239,2M1H0YOV0YMI4H1W
2025-06-16,246,2M1H0YOV0YMI4H1W
2025-06-17,206,2M1H0YOV0YMI4H1W
2025-06-18,178,2M1H0YOV0YMI4H1W
2025-06-19,145,2M1H0YOV0YMI4H1W
2025-06-20,229,2M1H0YOV0YMI4H1W
2025-06-21,198,2M1H0YOV0YMI4H1W
2025-06-22,219,2M1H0YOV0YMI4H1W
2025-06-23,224,2M1H0YOV0YMI4H1W
2025-06-24,188,2M1H0YOV0YMI4H1W
2025-06-25,249,2M1H0YOV0YMI4H1W
2025-06-26,220,2M1H0YOV0YMI4H1W
2025-06-27,272,2M1H0YOV0YMI4H1W
2025-06-28,247,2M1H0YOV0YMI4H1W
2025-06-29,234,2M1H0YOV0YMI4H1W
2025-06-30,179,2M1H0YOV0YMI4H1W
2025-07-01,223,2M1H0YOV0YMI4H1W
2025-07-02,241,2M1H0YOV0YMI4H1W
2025-07-03,254,2M1H0YOV0YMI4H1W
2025-07-04,195,2M1H0YOV0YMI4H1W
2025-07-05,258,2M1H0YOV0YMI4H1W
2025-07-06,254,2M1H0YOV0YMI4H1W
2025-07-07,146,2M1H0YOV0YMI4H1W
2025-07-08,238,2M1H0YOV0YMI4H1W
2025-07-09,259,2M1H0YOV0YMI4H1W
2025-07-10,284,2M1H0YOV0YMI4H1W
2025-07-11,239,2M1H0YOV0YMI4H1W
